Title,,Link,Season,Episode,,Description,Site,,Recced by
Home Smells Like You,loubuttons,https://archiveofourown.org/works/19470145,"[""Season 2""]",,,,AO3,"[""AO3""]",starrybouquet
Hope,Regularamanda,https://www.fanfiction.net/s/5188968/1/Hope,"[""Season 8""]","[""s08e07 Affinity""]","[""Fix-It""]",,FF.net,"[""FF.net""]",starrybouquet
HopeLights,akamaimom,https://archiveofourown.org/works/9134434,"[""Season 5""]",,"[""Christmas""]",,AO3,"[""AO3""]",starrybouquet
How Lucky He Is,SkyeRose,https://www.fanfiction.net/s/11063799/1/How-Lucky-He-Is,"[""Season 1""]",,,,FF.net,"[""FF.net""]",starrybouquet
"I Was Lost, Now I'm Found",agrainne24,https://www.fanfiction.net/s/9578863/1/I-Was-Lost-Now-I-m-Found,"[""Season 6""]","[""s06e15 Paradise Lost""]",,,FF.net,"[""FF.net""]",starrybouquet
In Matters of the Heart,SkyeRose,https://www.fanfiction.net/s/9488650/1/In-Matters-of-the-Heart,"[""Season 8""]","[""s08e07 Affinity""]","[""Fix-It""]",,FF.net,"[""FF.net""]",starrybouquet
Intruder Alert,PepperF,https://archiveofourown.org/works/777730,"[""Season 1""]",,"[""Valentines""]",,AO3,"[""AO3""]",starrybouquet
it's quiet uptown,starrybouquet,https://archiveofourown.org/works/24813838,"[""Season 6""]","[""s06e01-2 Redemption""]",,,AO3,"[""AO3""]",starrybouquet
It's Raining Men!,seldear,https://m.fanfiction.net/s/2089611/1/It-s-Raining-Men,,,"[""Comedy""]",,FF.net,"[""FF.net""]",starrybouquet
Jade,Lillie Flowers,https://www.fanfiction.net/s/9213582/1/Jade,"[""Season 4""]",,"[""Offworld Action/Adventure""]",,FF.net,"[""FF.net""]",starrybouquet
Jaunt to Paradise,Spiletta42,https://archiveofourown.org/works/198299,"[""Season 7""]",,"[""Offworld Action/Adventure""]",,AO3,"[""AO3""]",starrybouquet
Knowing,mrv3000,https://archiveofourown.org/works/204230,"[""Season 6""]",,,,AO3,"[""AO3""]",starrybouquet
Life Lessons,PepperF,https://archiveofourown.org/works/777545,"[""Season 4""]","[""s04e18 The Light""]",,,AO3,"[""AO3""]",starrybouquet
Lifelines,akamaimom,https://archiveofourown.org/works/4727156,"[""Season 4""]","[""s04e10 Beneath the Surface""]","[""Christmas""]",,AO3,"[""AO3""]",starrybouquet
Lockdowns and Chess,SkyeRose,https://www.fanfiction.net/s/9380304/1/Lockdowns-and-Chess,"[""Season 8""]","[""s08e03 Lockdown""]",,,FF.net,"[""FF.net""]",starrybouquet
